taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,language_code,Library of Congress MARC List for Languages
taxonomy_term--language,776,776,en,2021-10-08T20:35:13+00:00,True,English,0,2021-10-08T20:35:13+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:13+00:00,4fc70044-8b53-4e1a-a6a7-38127ab1b1b0,http://id.loc.gov/vocabulary/languages/eng;Library of Congress MARC List for Languages,eng,http://id.loc.gov/vocabulary/languages/eng
taxonomy_term--language,777,777,en,2021-10-08T20:35:13+00:00,True,Latin,0,2021-10-08T20:35:13+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:13+00:00,40a698a1-8c59-44b8-9d43-5be4a927180f,http://id.loc.gov/vocabulary/languages/lat;Library of Congress MARC List for Languages,lat,http://id.loc.gov/vocabulary/languages/lat
taxonomy_term--language,778,778,en,2021-10-08T20:35:13+00:00,True,Dutch,0,2021-10-08T20:35:13+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:13+00:00,04d5380b-d65f-4073-9057-798bf5522cae,http://id.loc.gov/vocabulary/languages/dut;Library of Congress MARC List for Languages,dut,http://id.loc.gov/vocabulary/languages/dut
taxonomy_term--language,779,779,en,2021-10-08T20:35:13+00:00,True,French,0,2021-10-08T20:35:13+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:13+00:00,1652a16e-cd7f-4559-921b-bb9cf3f29376,http://id.loc.gov/vocabulary/languages/fre;Library of Congress MARC List for Languages,fre,http://id.loc.gov/vocabulary/languages/fre
taxonomy_term--language,780,780,en,2021-10-08T20:35:13+00:00,True,German,0,2021-10-08T20:35:13+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:13+00:00,c993b6e7-b1cf-4b9c-97a0-b330f3d8ff91,http://id.loc.gov/vocabulary/languages/ger;Library of Congress MARC List for Languages,ger,http://id.loc.gov/vocabulary/languages/ger
taxonomy_term--language,781,781,en,2021-10-08T20:35:13+00:00,True,Italian,0,2021-10-08T20:35:13+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:35:13+00:00,8931692a-5cbc-40a0-9f50-a6e8ecb50c24,http://id.loc.gov/vocabulary/languages/ita;Library of Congress MARC List for Languages,ita,http://id.loc.gov/vocabulary/languages/ita
taxonomy_term--language,3662,3662,en,2023-01-12T16:02:54+00:00,True,Swedish,0,2023-01-12T16:02:54+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2023-01-12T16:02:54+00:00,00a24a00-39f5-4dc8-a1b4-7fcd26e54c56,http://id.loc.gov/vocabulary/languages/swe;Library of Congress MARC List for Languages,swe,http://id.loc.gov/vocabulary/languages/swe
