taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,rightsstatements
taxonomy_term--copyright_and_use,177,177,en,2021-10-08T20:33:25+00:00,True,Copyright Not Evaluated,0,2022-03-11T14:30:03+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:25+00:00,1c040b49-ae53-4fc2-a4c5-78bb1921eaf9,http://rightsstatements.org/vocab/CNE/1.0/;rightsstatements,http://rightsstatements.org/vocab/CNE/1.0/
taxonomy_term--copyright_and_use,3560,3560,en,2021-10-08T20:39:28+00:00,True,No Copyright – United States,0,2021-10-08T20:39:28+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:39:28+00:00,89d68a2a-5e61-410f-bd3d-c2118d7c35c0,http://rightsstatements.org/vocab/NoC-US/1.0/;rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
taxonomy_term--copyright_and_use,3561,3561,en,2021-10-08T20:39:28+00:00,True,Copyright Undetermined,0,2021-10-08T20:39:28+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:39:28+00:00,a4e8e81c-dfa3-4e7d-b1ee-677e50943e52,http://rightsstatements.org/vocab/CNE/1.0/;rightsstatements,http://rightsstatements.org/vocab/CNE/1.0/
taxonomy_term--copyright_and_use,3562,3562,en,2021-10-08T20:39:28+00:00,True,No Known Copyright,0,2021-10-08T20:39:28+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:39:28+00:00,a6f50628-01d9-4537-a7dd-82e6129efbe4,http://rightsstatements.org/vocab/NKC/1.0/;rightsstatements,http://rightsstatements.org/vocab/NKC/1.0/
taxonomy_term--copyright_and_use,3563,3563,en,2021-10-08T20:39:28+00:00,True,In Copyright,0,2021-10-08T20:39:28+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:39:28+00:00,783e5183-c086-48d1-b604-f9e47f998e18,http://rightsstatements.org/vocab/InC/1.0/;rightsstatements,http://rightsstatements.org/vocab/InC/1.0/
