taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,revision_log_message,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,corporate_body_alt_name,date,date_of_meeting_or_treaty,location_of_meeting,num_of_section_or_meet,primary_name,subordinate_name,type,unique_id,lcnaf,viaf,authority,description,other,ulan,family_name,title_and_other_words,lcgft,aat,broader,geo_alt_name,fast,geonames,language_code,Library of Congress MARC List for Languages,person_alternate_name,preferred_name_fuller_form,preferred_name_number,preferred_name_prefix,preferred_name_rest,preferred_name_suffix,primary_part_of_name,rightsstatements,external_uri,dcmi_types
taxonomy_term--corporate_body,189,189,en,2021-10-08T20:33:47+00:00,,True,American Foto-News,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,American Foto-News,,,e0d5a000-d2fa-4336-b8c0-36a14e8ba2e7,,,,Location information: New York,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,190,190,en,2021-10-08T20:33:47+00:00,,True,American Heart Association,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,American Heart Association,,,21695ca8-c40a-4fec-bd6a-d194fc094f32,http://id.loc.gov/authorities/names/n79007195,http://viaf.org/viaf/139377934,http://viaf.org/viaf/139377934;viaf||http://id.loc.gov/authorities/names/n79007195;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,191,191,en,2021-10-08T20:33:47+00:00,,True,American School of Classical Studies at Athens,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,American School of Classical Studies at Athens,,,24c1fe1f-4762-47b0-b627-6e2b3eac4e81,http://id.loc.gov/authorities/names/n79058461,http://viaf.org/viaf/133339899,http://viaf.org/viaf/133339899;viaf||http://id.loc.gov/authorities/names/n79058461;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,192,192,en,2021-10-08T20:33:47+00:00,,True,AmeriCorps (U.S.),0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,AmeriCorps (U.S.),,,703a10c8-2b36-43ef-9c57-e556225e1756,http://id.loc.gov/authorities/names/no94023873,http://viaf.org/viaf/153899556,http://viaf.org/viaf/153899556;viaf||http://id.loc.gov/authorities/names/no94023873;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,193,193,en,2021-10-08T20:33:47+00:00,,True,ANSA,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,ANSA,,,fa25055f-0302-4323-8f64-6a07a0aca819,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,194,194,en,2021-10-08T20:33:47+00:00,,True,Apollo 17 (Spacecraft),0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Apollo 17 (Spacecraft),,,905c5770-9630-4620-a4ce-566d9be1a97b,http://id.loc.gov/authorities/names/n93060597,http://viaf.org/viaf/147897326,http://viaf.org/viaf/147897326;viaf||http://id.loc.gov/authorities/names/n93060597;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,195,195,en,2021-10-08T20:33:47+00:00,,True,Army Photographic Agency,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Army Photographic Agency,,,261f7ace-9b8f-476c-ad6b-f317865f80f5,,,,"Location information: Washington, DC",,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,196,196,en,2021-10-08T20:33:47+00:00,,True,Arthur Studio,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Arthur Studio,,,214009f4-afc3-41ee-a983-97d8ca325d78,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,197,197,en,2021-10-08T20:33:47+00:00,,True,Artvue Post Card Co.,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Artvue Post Card Co.,,,30a1d31e-0a70-44c0-86bc-38ee19678c2d,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,198,198,en,2021-10-08T20:33:47+00:00,,True,Ashinan Photo,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Ashinan Photo,,,701b950b-b8b4-4273-856f-fbfa266cc70a,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,199,199,en,2021-10-08T20:33:47+00:00,,True,Ashman Studio,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Ashman Studio,,,526d6f8a-f81c-4c48-9ae7-4e4be6063a6d,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,200,200,en,2021-10-08T20:33:47+00:00,,True,Association of American Universities,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Association of American Universities,,,f161f5b5-fa84-4ed4-95e3-449a26751cc0,http://id.loc.gov/authorities/names/n84038160,http://viaf.org/viaf/137100626,http://viaf.org/viaf/137100626;viaf||http://id.loc.gov/authorities/names/n84038160;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
