taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,fast
taxonomy_term--subject,3455,3455,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Curricula,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,fffb92d1-d794-47e8-9e67-f99dfdd1e385,http://id.worldcat.org/fast/1161669;fast,http://id.worldcat.org/fast/1161669
taxonomy_term--subject,3456,3456,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Decentralization,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,b46a52f1-a3dc-4b65-9f5f-91fd7169ef54,http://id.worldcat.org/fast/1161679;fast,http://id.worldcat.org/fast/1161679
taxonomy_term--subject,3457,3457,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Economic aspects,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,aebefbec-4187-4c47-80b9-7a252f1ac127,http://id.worldcat.org/fast/1161691;fast,http://id.worldcat.org/fast/1161691
taxonomy_term--subject,3458,3458,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Endowments,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,5bf97675-c239-4830-abc9-7bc86becd96d,http://id.worldcat.org/fast/1161710;fast,http://id.worldcat.org/fast/1161710
taxonomy_term--subject,3459,3459,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Faculty,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,fb663853-99d5-47a0-b232-877ff890fea6,http://id.worldcat.org/fast/1161748;fast,http://id.worldcat.org/fast/1161748
taxonomy_term--subject,3460,3460,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Finance,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,9c7e3f5a-c2d3-4f08-97c5-ab6835de5444,http://id.worldcat.org/fast/1161770;fast,http://id.worldcat.org/fast/1161770
taxonomy_term--subject,3461,3461,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Food service,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,15055b07-7f67-431c-89a9-27d24f1dfd6c,http://id.worldcat.org/fast/1161782;fast,http://id.worldcat.org/fast/1161782
taxonomy_term--subject,3462,3462,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Government policy,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,768e3c4e-f10d-4138-955b-719511c52b59,http://id.worldcat.org/fast/1161784;fast,http://id.worldcat.org/fast/1161784
taxonomy_term--subject,3463,3463,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Graduate work,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,1d6017f9-9cd4-49bb-868f-eaa808d7551b,http://id.worldcat.org/fast/1161785;fast,http://id.worldcat.org/fast/1161785
taxonomy_term--subject,3464,3464,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Insignia,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,0ff599ea-6718-46ef-b496-0d22bf9e6400,http://id.worldcat.org/fast/1161812;fast,http://id.worldcat.org/fast/1161812
