taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,description,external_uri
taxonomy_term--islandora_display,2,2,en,2020-10-08T08:39:27+00:00,True,Open Seadragon,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,Display using the Open Seadragon viewer,"{'uri': 'http://openseadragon.github.io', 'title': None, 'options': []}"
taxonomy_term--islandora_display,3,3,en,2020-10-08T08:39:27+00:00,True,PDFjs,0,2020-10-08T08:39:27+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2020-10-08T08:39:27+00:00,Display using the PDF.js viewer,"{'uri': 'http://mozilla.github.io/pdf.js', 'title': None, 'options': []}"
